prediction_key,session_id,judgment_frozen,evidence_strength_recorded,outcome_url_count,prediction_locator_present,primary_evidence_url,secondary_evidence_url,admissible_source_type_frozen,priority,review_action,review_status,review_note_url,new_evidence_url,new_evidence_accessed_at,proposed_addendum_judgment
39-CCC-2006-011-04,CCC-2006-011,fulfilled,moderate,1,1,https://www.tagesspiegel.de/politik/behorden-sind-gute-kunden-1981750.html,,official_procurement_parliamentary_judicial_records_and_authenticated_vendor_material,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
39-CCC-2006-011-05,CCC-2006-011,indeterminate,weak,0,1,,,NVD_or_equivalent_frozen_database_plus_vendor_advisories,P1,Buscar fuente admisible para el umbral congelado; documentar búsquedas negativas,not_started,,,,
39-CCC-2006-011-06,CCC-2006-011,not_fulfilled,weak,0,1,,,incident_response_malware_research_and_Tor_project_or_community_archives,P0,Revisar evidencia del incumplimiento sin inferirlo de silencio,initial_nonexhaustive_search,/documents/nota_revision_focal_caso_p0_v1.4.md,,,
39-CCC-2006-011-11,CCC-2006-011,indeterminate,weak,1,1,https://seclists.org/fulldisclosure/,,Full_Disclosure_primary_archive_plus_contemporaneous_corrections,P2,"Revisar conflicto, cobertura y suficiencia de fuentes existentes",not_started,,,,
39-CCC-2006-011-13,CCC-2006-011,not_fulfilled,moderate,2,1,https://nvd.nist.gov/vuln/detail/CVE-2007-1993,https://media.blackhat.com/bh-dc-11/Larimer/BlackHat_DC_2011_Larimer_Vulnerabiliters_w-removeable_storage-wp.pdf,CVE_vendor_advisories_and_researcher_primary_material,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
25-CCC-2007-013-01,CCC-2007-013,not_fulfilled,strong,2,1,https://interoperable-europe.ec.europa.eu/collection/egovernment/document/eu-recommendation-privacy-and-data-protection-applications-supported-radio-frequency-identification,https://interoperable-europe.ec.europa.eu/sites/default/files/document/2014-12/recommendationonrfid2009.pdf,official_European_Commission_documentation,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
60-CCC-2006-008-01,CCC-2006-008,not_fulfilled,moderate,1,1,https://www.iihs.org/topics/advanced-driver-assistance,,regulator_industry_association_and_independent_market_data,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
111-CCC-2007-014-01,CCC-2007-014,fulfilled,strong,2,1,https://nvd.nist.gov/vuln/detail/CVE-2008-2639,https://advisories.checkpoint.com/defense/advisories/public/2009/cpai-2008-348.html/,official_CERT_vendor_advisories_and_contemporaneous_industrial_security_research,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
111-CCC-2007-014-02,CCC-2007-014,fulfilled,strong,2,1,https://www.secure-medicine.org/icd-study/icd-study.pdf,https://www.emsec.ruhr-uni-bochum.de/research/publications/Keeloq/,conference_research_vendor_advisories_CERT_and_contemporaneous_technical_analyses,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
111-CCC-2007-014-03,CCC-2007-014,fulfilled,strong,2,1,https://www.adobe.com/support/security/advisories/apsa08-03.html,https://www.adobe.com/support/security/advisories/apsa08-08.html,official_Adobe_bulletins_national_vulnerability_databases_and_contemporaneous_vendor_analyses,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
111-CCC-2007-014-04,CCC-2007-014,fulfilled,strong,2,1,https://www.microsoft.com/en-us/wdsi/threats/malware-encyclopedia-description?Name=Backdoor%3AWin32%2FKoobface.A,https://www.darkreading.com/cyberattacks-data-breaches/koobface-worm-targets-myspace-other-sites,platform_advisories_CERT_records_and_contemporaneous_malware_analyses,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
111-CCC-2007-014-05,CCC-2007-014,indeterminate,weak,1,1,https://cloud.googleblog.com/2008/12/google-apps-on-campus-getting-things.html,,official_procurement_institutional_announcements_and_corroborated_provider_records,P2,"Revisar conflicto, cobertura y suficiencia de fuentes existentes",not_started,,,,
80-CCC-2007-012-04,CCC-2007-012,indeterminate,weak,0,1,,,antivirus_vendor_annual_reports_independent_malware_catalogs_and_platform_security_chronologies,P1,Buscar fuente admisible para el umbral congelado; documentar búsquedas negativas,not_started,,,,
80-CCC-2007-012-05,CCC-2007-012,not_fulfilled,moderate,2,1,https://support.apple.com/en-us/HT201222,https://www.microsoft.com/en-us/wdsi/threats/malware-encyclopedia-description?Name=Exploit%3AiPhoneOS%2FCVE-2009-2204,antivirus_vendor_analyses_platform_security_advisories_and_independent_reverse_engineering_reports,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
103-CCC-2008-019-01,CCC-2008-019,fulfilled,strong,2,1,https://privacyrights.org/data-breaches,https://www.gao.gov/products/gao-12-961,regulator_breach_notices_organization_disclosures_and_contemporaneous_reporting,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
103-CCC-2008-019-02,CCC-2008-019,fulfilled,strong,2,1,https://media.ccc.de/v/26c3-3654-en-gsm_srsly,https://arxiv.org/abs/1107.1086,primary_security_research_artifacts_conference_presentations_and_independent_replications,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
103-CCC-2008-019-03,CCC-2008-019,indeterminate,weak,0,1,,,primary_project_statistics_network_measurements_service_directories_and_market_records,P1,Buscar fuente admisible para el umbral congelado; documentar búsquedas negativas,not_started,,,,
103-CCC-2008-019-04,CCC-2008-019,fulfilled,strong,2,1,https://www.adobe.com/support/security/advisories/apsa09-04.html,https://nvd.nist.gov/vuln/detail/CVE-2009-1862,Adobe_security_advisories_CVE_records_primary_exploit_analyses_and_contemporaneous_reporting,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
103-CCC-2008-019-05,CCC-2008-019,not_fulfilled,moderate,2,1,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20080610-snmpv3.html,https://snmp.com/news/cert_878044.shtml,vendor_advisories_CVE_records_primary_research_exploit_artifacts_and_incident_reports,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
103-CCC-2008-019-06,CCC-2008-019,not_fulfilled,moderate,1,1,https://www.informationactivism.org/en/balloon-mapping-documenting-the-gulf-coast-oil-spill-and-student-protests-chile.html,,activist_project_archives_event_media_and_contemporaneous_reporting,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
103-CCC-2008-019-07,CCC-2008-019,indeterminate,moderate,1,1,https://ora.ox.ac.uk/objects/uuid%3A6d1260fd-b8ee-4a11-8a5f-e7708d543651,,civil_society_incident_repositories_primary_threat_reports_and_contemporaneous_case_records,P2,"Revisar conflicto, cobertura y suficiencia de fuentes existentes",not_started,,,,
103-CCC-2008-019-08,CCC-2008-019,fulfilled,strong,1,1,https://ora.ox.ac.uk/objects/uuid%3A6d1260fd-b8ee-4a11-8a5f-e7708d543651,,primary_incident_analyses_threat_reports_and_campaign_artifacts,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
103-CCC-2008-019-09,CCC-2008-019,indeterminate,moderate,2,1,https://www.cert-ist.com/eng/ressources/Publications_ArticlesBulletins/VersVirusetAntivirus/symbian_signed_malware/,https://www.virusbulletin.com/blog/2009/07/yxe-trojan-infecting-mobile-phones/,mobile_operator_advisories_antivirus_telemetry_primary_malware_analysis_and_incident_reporting,P2,"Revisar conflicto, cobertura y suficiencia de fuentes existentes",not_started,,,,
25-CCC-2007-013-05,CCC-2007-013,not_fulfilled,strong,2,1,https://eur-lex.europa.eu/eli/reco/2009/387/oj/eng,https://interoperable-europe.ec.europa.eu/collection/rolling-plan-ict-standardisation/internet-things-rp-2026,official_European_Commission_documentation,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
70-CCC-2009-021-01,CCC-2009-021,indeterminate,moderate,2,1,https://www.bfdi.bund.de/SharedDocs/Downloads/EN/Taetigkeitsberichte/23TB_09_10.pdf?__blob=publicationFile&v=5,https://www.bfdi.bund.de/SharedDocs/Downloads/DE/Taetigkeitsberichte/23TB_09_10.pdf?__blob=publicationFile&v=5,official_regulatory_legislative_data_protection_and_major_civil_society_records,P2,"Revisar conflicto, cobertura y suficiencia de fuentes existentes",not_started,,,,
70-CCC-2009-021-02,CCC-2009-021,fulfilled,strong,2,1,https://www.ischool.berkeley.edu/research/publications/2010/inferring-personal-information-demand-response-systems,https://colab.ws/articles/10.1145%2F1878431.1878446,peer_reviewed_research_regulator_tests_utility_pilots_and_technical_demonstrations,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
70-CCC-2009-021-05,CCC-2009-021,indeterminate,weak,0,1,,,bank_regulator_incident_primary_records_and_reputable_contemporaneous_reporting,P1,Buscar fuente admisible para el umbral congelado; documentar búsquedas negativas,not_started,,,,
70-CCC-2009-021-10,CCC-2009-021,not_fulfilled,moderate,1,1,https://datatracker.ietf.org/doc/html/rfc6092,,operator_documentation_and_independent_active_measurement,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
70-CCC-2009-021-11,CCC-2009-021,fulfilled,strong,2,1,https://wikileaks.org/wiki/Category%3A2010,https://wikileaks.org/10years/WikiLeaks10yrsPressPack.pdf,primary_leak_repositories_archival_records_and_reputable_contemporaneous_reporting,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
100-CCC-2010-028-02,CCC-2010-028,not_fulfilled,strong,2,1,https://www.cve.org/About/Metrics,https://www.heise.de/news/Bericht-Zahl-der-Sicherheitsluecken-nimmt-ab-1433686.html,primary_global_vulnerability_catalogs_and_contemporaneous_catalog_reports,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
100-CCC-2010-028-01,CCC-2010-028,fulfilled,strong,2,1,https://www.ccc.de/en/updates/2011/staatstrojaner,https://www.ccc.de/en/updates/2011/analysiert-aktueller-staatstrojaner,German_court_and_parliamentary_records_official_documents_independent_technical_analysis_and_contemporaneous_reporting,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
100-CCC-2010-028-03,CCC-2010-028,not_fulfilled,moderate,2,1,https://www.eff.org/deeplinks/2011/02/newly-released-documents-detail-fbi-s-plan-expand,https://www.fbi.gov/news/speeches-and-testimony/going-dark-encryption-technology-and-the-balances-between-public-safety-and-privacy,official_legislative_regulatory_agency_and_standards_records,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
27-CCC-2012-032-08,CCC-2012-032,fulfilled,strong,2,1,https://www.camara.leg.br/noticias/365888-projeto-propoe-reforma-na-lei-de-direito-,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=534039,official_Brazilian_Congress_records_plus_contemporaneous_FGV_primary_material,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
41-CCC-2011-031-01,CCC-2011-031,indeterminate,weak,0,1,,,vendor_advisories_researcher_primary_material_and_peer_reviewed_research,P1,Buscar fuente admisible para el umbral congelado; documentar búsquedas negativas,not_started,,,,
41-CCC-2011-031-02,CCC-2011-031,indeterminate,weak,0,1,,,researcher_primary_material_vendor_advisories_and_CVE_records,P1,Buscar fuente admisible para el umbral congelado; documentar búsquedas negativas,not_started,,,,
41-CCC-2011-031-03,CCC-2011-031,fulfilled,strong,2,1,https://www.globenewswire.com/news-release/2012/09/25/492510/13741/en/HID-Global-Completes-World-s-First-Series-of-NFC-Enabled-Smartphone-Pilots-That-Open-Doors-in-the-Enterprise.html,https://www.rfidjournal.com/news/assa-abloy-creates-nfc-solution-that-uses-phones-to-open-doors-grant-computer-access/83855/,manufacturer_and_access_control_vendor_primary_material,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
41-CCC-2011-031-04,CCC-2011-031,indeterminate,weak,0,1,,,manufacturer_launch_platform_and_market_share_primary_material,P1,Buscar fuente admisible para el umbral congelado; documentar búsquedas negativas,not_started,,,,
41-CCC-2011-031-05,CCC-2011-031,not_fulfilled,moderate,2,1,https://www.enisa.europa.eu/publications/info-notes/spam-and-phishing-in-q3-2012,https://securelist.com/spam-in-2012/36683/,spam_trap_archives_security_vendor_research_and_primary_message_evidence,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
41-CCC-2011-031-06,CCC-2011-031,not_fulfilled,moderate,1,1,https://www.enisa.europa.eu/publications/info-notes/spam-and-phishing-in-q3-2012,,provider_policy_filter_documentation_and_contemporaneous_organizational_evidence,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
41-CCC-2011-031-07,CCC-2011-031,fulfilled,strong,2,1,https://www.5gtechnologyworld.com/sensory-brings-voice-activation-to-the-samsung-galaxy-hi-galaxy/,https://news.samsung.com/global/samsung-galaxy-s-iii-designed-for-humans-and-inspired-by-nature,platform_handset_and_chipset_primary_documentation,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
41-CCC-2011-031-08,CCC-2011-031,indeterminate,weak,0,1,,,reputable_news_archives_platform_primary_material_and_user_research,P1,Buscar fuente admisible para el umbral congelado; documentar búsquedas negativas,not_started,,,,
51-BHPRO-2012-03-08,BHPRO-2012-03,indeterminate,moderate,2,1,https://newgtlds.icann.org/en/blog/first-delegation-21oct13-en,https://www.icann.org/en/announcements/details/new-gtld-collision-occurrence-management-plan-frequently-asked-questions-3-12-2013-en,ICANN_delegation_records_operator_or_enterprise_logs_and_security_research,P2,"Revisar conflicto, cobertura y suficiencia de fuentes existentes",not_started,,,,
100-CCC-2010-028-04,CCC-2010-028,indeterminate,weak,0,1,,,official_public_form_archives_procurement_records_and_technical_guidance,P1,Buscar fuente admisible para el umbral congelado; documentar búsquedas negativas,not_started,,,,
104-CCC-2010-024-01,CCC-2010-024,not_fulfilled,strong,2,1,https://www.gesetze-im-internet.de/bmg/,https://dserver.bundestag.de/btd/17/077/1707746.pdf,German_federal_legislation_cabinet_ministry_and_parliamentary_records,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
127-CCC-2012-037-01,CCC-2012-037,fulfilled,moderate,2,1,https://securelist.com/mobile-malware-evolution-2013/58335/,https://www.enisa.europa.eu/publications/enisa-threat-landscape-2013-overview-of-current-and-emerging-cyber-threats,mobile_malware_reports_platform_advisories_and_contemporaneous_security_research,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
127-CCC-2012-037-02,CCC-2012-037,fulfilled,strong,2,1,https://www.fda.gov/medical-devices/digital-health-center-excellence/cybersecurity,https://www.fda.gov/media/102583/download,regulator_CERT_research_and_major_specialist_news,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
127-CCC-2012-037-03,CCC-2012-037,indeterminate,weak,0,1,,,regulator_certification_vendor_CERT_and_contemporaneous_research,P1,Buscar fuente admisible para el umbral congelado; documentar búsquedas negativas,not_started,,,,
27-CCC-2012-032-04,CCC-2012-032,fulfilled,strong,1,1,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32014L0026,,official_EU_legislation_and_legislative_history,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
34-CCC-2013-034-08,CCC-2013-034,not_fulfilled,moderate,2,1,https://biometrics.mainguet.org/appli/appli_smartphones_history.htm,https://www.biometricupdate.com/wp-content/uploads/2014/08/Mobile-Biometric-Authentication-Report.pdf,manufacturer_launch_archives_and_reputable_contemporaneous_device_databases,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
34-CCC-2013-034-09,CCC-2013-034,not_fulfilled,moderate,2,1,https://srlabs.de/bites/spoofing-fingerprints,https://techcrunch.com/2014/04/15/samsung-galaxy-s5-fingerprint-sensor/,contemporaneous_researcher_demonstrations_and_independent_technical_testing,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
34-CCC-2013-034-10,CCC-2013-034,not_fulfilled,strong,2,1,https://news.samsung.com/global/10-sensors-of-galaxy-s5-heart-rate-finger-scanner-and-more,https://consumer.huawei.com/en/press/news/2014/ifa2014-mate7/,official_security_architecture_documents_and_independent_device_teardowns,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
34-CCC-2013-034-11,CCC-2013-034,indeterminate,weak,0,1,,,official_OEM_firmware_documentation_and_UEFI_technical_material,P1,Buscar fuente admisible para el umbral congelado; documentar búsquedas negativas,not_started,,,,
34-CCC-2013-034-12,CCC-2013-034,indeterminate,moderate,2,1,https://www.cs.tau.ac.il/~tromer/acoustic/,https://arxiv.org/abs/1411.0237,peer_reviewed_papers_and_researcher_primary_demonstrations,P2,"Revisar conflicto, cobertura y suficiencia de fuentes existentes",not_started,,,,
34-CCC-2013-034-13,CCC-2013-034,fulfilled,moderate,2,1,https://arxiv.org/abs/1403.5727,https://arxiv.org/abs/1408.1416,peer_reviewed_research_researcher_primary_material_and_platform_security_documentation,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
34-CCC-2013-034-14,CCC-2013-034,indeterminate,weak,0,1,,,vendor_advisories_CVE_records_and_researcher_primary_technical_material,P1,Buscar fuente admisible para el umbral congelado; documentar búsquedas negativas,not_started,,,,
20-CCC-2012-033-01,CCC-2012-033,fulfilled,strong,2,1,https://global.toyota/en/detail/4228471/,https://pressroom.toyota.com/?generate_pdf=10570,official_OEM_or_transport_regulator_documentation_plus_contemporaneous_independent_automotive_record,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
123-CCC-2014-048-01,CCC-2014-048,fulfilled,strong,2,1,https://learn.microsoft.com/en-us/windows/deployment/update/waas-overview,https://www.eff.org/deeplinks/2015/08/windows-10-microsoft-blatantly-disregards-user-choice-and-privacy-deep-dive,major_technology_press_vendor_policy_and_consumer_protection_records,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
123-CCC-2014-048-02,CCC-2014-048,fulfilled,strong,2,1,https://www.nhtsa.gov/technology-innovation/automated-vehicles-safety,https://waymo.com/blog/2015/05/google-self-driving-car-project,major_news_technology_press_regulator_and_professional_records,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
123-CCC-2014-048-03,CCC-2014-048,indeterminate,weak,0,1,,,vendor_terms_regulatory_records_security_research_and_investigative_reporting,P1,Buscar fuente admisible para el umbral congelado; documentar búsquedas negativas,not_started,,,,
92-CCC-2014-045-01,CCC-2014-045,not_fulfilled,strong,2,1,https://eur-lex.europa.eu/eli/reg/2015/758/oj,https://ec.europa.eu/commission/presscorner/detail/en/IP_18_2263,EU_primary_legislation_type_approval_records_and_manufacturer_model_specifications,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
131-CCC-2015-056-01,CCC-2015-056,fulfilled,strong,2,1,https://www.usenix.org/conference/usenixsecurity16/technical-sessions/presentation/razavi,https://www.vusec.net/projects/flip-feng-shui/,peer_reviewed_and_conference_research_vendor_and_CERT_records,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
131-CCC-2015-056-02,CCC-2015-056,fulfilled,moderate,2,1,https://www.ftc.gov/system/files/documents/reports/big-data-growing-concern-class-action-fairness-report-workshop/big_data_growing_concern_class_action_fairness_report_workshop.pdf,https://journals.sagepub.com/doi/10.1177/0306422016643031,network_measurement_regulator_vendor_and_major_technical_reporting,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
131-CCC-2015-056-03,CCC-2015-056,not_fulfilled,moderate,2,1,https://eur-lex.europa.eu/eli/reg/2015/2120/oj,https://trai.gov.in/sites/default/files/Regulation_Data_Service.pdf,regulator_court_legislative_ISP_and_authoritative_monitoring_records,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
131-CCC-2015-056-05,CCC-2015-056,fulfilled,strong,2,1,https://www.apple.com/customer-letter/,https://www.govinfo.gov/content/pkg/CHRG-114shrg26536/pdf/CHRG-114shrg26536.pdf,court_legislative_official_company_and_major_news_records,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
31-VB-2016-P01-02,VB-2016-P01,not_fulfilled,moderate,2,1,https://www.crunchbase.com/hub/cyber-security-acquired-companies,https://www.securityweek.com/security-mergers-and-acquisitions/,company_primary_announcements_regulatory_filings_and_reputable_transaction_databases,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
51-BHPRO-2012-03-02,BHPRO-2012-03,fulfilled,strong,2,1,https://www.google.com/intl/en/ipv6/statistics.html,https://www.internetsociety.org/resources/2017/state-of-ipv6-deployment-2017/,independent_network_measurement_and_operator_primary_reports,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
51-BHPRO-2012-03-03,BHPRO-2012-03,fulfilled,moderate,2,1,https://www.cisco.com/c/en/us/td/docs/solutions/Enterprise/Campus/CampIPv6.html,https://www.rfc-editor.org/rfc/rfc7381.html,enterprise_case_studies_operator_reports_and_validated_vendor_designs,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
51-BHPRO-2012-03-04,BHPRO-2012-03,indeterminate,weak,0,1,,,vendor_architecture_documentation_and_enterprise_case_studies,P1,Buscar fuente admisible para el umbral congelado; documentar búsquedas negativas,not_started,,,,
51-BHPRO-2012-03-05,BHPRO-2012-03,indeterminate,moderate,2,1,https://www.google.com/intl/en/ipv6/statistics.html,https://www.caida.org/catalog/datasets/ipv6_dnsnames/,independent_active_measurement_and_operator_addressing_reports,P2,"Revisar conflicto, cobertura y suficiencia de fuentes existentes",not_started,,,,
51-BHPRO-2012-03-06,BHPRO-2012-03,not_fulfilled,moderate,2,1,https://www.rfc-editor.org/rfc/rfc7707,https://www.sans.org/white-papers/33969/,peer_reviewed_research_researcher_primary_material_and_incident_analysis,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
51-BHPRO-2012-03-07,BHPRO-2012-03,fulfilled,strong,2,1,https://www.rfc-editor.org/rfc/rfc7707,https://arxiv.org/abs/1607.05179,authoritative_testing_guides_scanner_documentation_and_peer_reviewed_measurement,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
59-CCC-2016-060-11,CCC-2016-060,fulfilled,strong,2,1,https://www.macrumors.com/2017/02/24/cellebrite-lawful-unlocking-iphone-6/,https://cellebrite.com/en/cas-sales-inquiry/,forensic_vendor_primary_documentation_court_records_and_technical_research,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
51-BHPRO-2012-03-01,BHPRO-2012-03,fulfilled,moderate,2,1,https://www.rfc-editor.org/rfc/rfc7381.html,https://www.cisco.com/c/en/us/td/docs/solutions/Enterprise/Campus/CampIPv6.html,enterprise_primary_case_studies_vendor_architecture_guides_and_standards_material,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
59-CCC-2016-060-01,CCC-2016-060,fulfilled,moderate,2,1,https://www.ncsc.gov.uk/collection/device-security-guidance/managing-deployed-devices/updates,https://support.google.com/chrome/a/answer/7679408,official_platform_vendor_documentation_and_authoritative_policy_guidance,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
59-CCC-2016-060-05,CCC-2016-060,fulfilled,strong,2,1,https://github.com/easylist/easylist,https://easylist.to/easylist/fanboy-annoyance.txt,primary_project_repositories_release_notes_and_contemporaneous_demonstrations,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
43-CCC-2017-073-01,CCC-2017-073,not_fulfilled,moderate,2,1,https://robotattack.org/,https://www.usenix.org/conference/usenixsecurity18/presentation/bock,peer_reviewed_research_vendor_advisories_and_researcher_primary_material,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
43-CCC-2017-073-02,CCC-2017-073,not_fulfilled,moderate,2,1,https://cve.mitre.org/cgi-bin/cvekey.cgi?keyword=random+2018,https://csrc.nist.gov/publications/detail/sp/800-90b/final,vendor_advisories_CVE_records_peer_reviewed_research_and_researcher_primary_material,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
59-CCC-2016-060-06,CCC-2016-060,indeterminate,moderate,2,1,https://github.com/reek/anti-adblock-killer,https://github.com/gorhill/uBlock,primary_project_code_documentation_and_contemporaneous_security_research,P2,"Revisar conflicto, cobertura y suficiencia de fuentes existentes",not_started,,,,
59-CCC-2016-060-07,CCC-2016-060,fulfilled,strong,2,1,https://arxiv.org/abs/1811.03194,https://arxiv.org/abs/1805.09155,vendor_primary_material_code_patents_and_independent_technical_analysis,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
36-BHKEY-2017-01-10,BHKEY-2017-01,indeterminate,weak,0,1,,,company_primary_material_founder_accounts_investor_material_and_official_conference_programme,P1,Buscar fuente admisible para el umbral congelado; documentar búsquedas negativas,not_started,,,,
31-VB-2016-P01-01,VB-2016-P01,indeterminate,weak,0,1,,,contemporaneous_451_Research_reports_and_author_primary_material,P1,Buscar fuente admisible para el umbral congelado; documentar búsquedas negativas,not_started,,,,
