selection_order,session_id,candidate_order,prediction_key,deadline,judgment,judgment_binary_primary,evidence_strength,primary_evidence_url,secondary_evidence_url,evidence_date_or_period,evidence_summary,threshold_application,conflict_or_missing_application,coder,evaluated_at,notes
39,CCC-2006-011,04,39-CCC-2006-011-04,2007-12-31,fulfilled,1,moderate,https://www.tagesspiegel.de/politik/behorden-sind-gute-kunden-1981750.html,,2007-12,"Procurement records reported from tender documents show the Baden-Württemberg state criminal police contracted DigiTask in December 2007 for a €1.2 million telecommunications-surveillance application.","A German public authority contracted an external private supplier for a material covert interception component before year end.","The frozen claim is not limited to the BKA. The contract is specific to surveillance technology, rather than generic IT consulting.",Codex,2026-08-08,"Evidence is documentary reporting of tender records; retrieval of the underlying award file would strengthen replication."
39,CCC-2006-011,05,39-CCC-2006-011-05,2007-12-31,indeterminate,,weak,,,2006-2007,"No reproducible frozen-equivalent CVE query or curated dataset was located that consistently counts exploitable graphics, wireless-chipset, peripheral-firmware and comparable non-IP component disclosures in both years.","The required direction comparison cannot be calculated without post hoc category judgments that would materially alter the frozen indicator.","The missing-data rule requires the same query and inclusion rules for both years; ad hoc examples cannot establish a count trend.",Codex,2026-08-08,"Requires a separately reproducible historical CVE ontology exercise."
39,CCC-2006-011,06,39-CCC-2006-011-06,2007-12-31,not_fulfilled,0,weak,,,2007,"The audit located no verifiable 2007 case of a consumer VoIP, IPTV or dedicated media set-top appliance operating as botnet infrastructure or a Tor node; nearby cases involve general-purpose computers or later router botnets.","No qualifying occurrence was established by the deadline.","Because the row's frozen rule treats absence as non-fulfilment, later or non-appliance cases were not used to rescue the prediction.",Codex,2026-08-08,"Low evidence strength: historical device-botnet coverage is incomplete."
39,CCC-2006-011,11,39-CCC-2006-011-11,2007-12-31,indeterminate,,weak,https://seclists.org/fulldisclosure/,,,"The Full Disclosure archive is accessible, but 'bogus advisory' has no stable archive label and a reliable 2006-versus-2007 event count would require subjective full-corpus coding and cross-post deduplication.","The frozen comparative threshold was not computable from archive metadata alone.","Because comparable archive completeness and classification could not be demonstrated, the explicit missing-data rule mandates indeterminate.",Codex,2026-08-08,"Do not substitute total message volume or isolated hoaxes for the frozen bogus-event count."
39,CCC-2006-011,13,39-CCC-2006-011-13,2007-12-31,not_fulfilled,0,moderate,https://nvd.nist.gov/vuln/detail/CVE-2007-1993,https://media.blackhat.com/bh-dc-11/Larimer/BlackHat_DC_2011_Larimer_Vulnerabiliters_w-removeable_storage-wp.pdf,2007,"The closest 2007 filesystem record found concerns remote RPC handling in HP-UX PFS, not code execution triggered by mounting or parsing attacker-controlled removable media. Later removable-filesystem research identifies the relevant class but not a qualifying 2007 disclosure.","No 2007 disclosure met the frozen trigger and impact together.","Document parser, Autorun and remotely invoked filesystem-service bugs were excluded as preregistered; absence is non-fulfilment under the row rule.",Codex,2026-08-08,"Moderate confidence pending a reproducible NVD filesystem-component query."
25,CCC-2007-013,01,25-CCC-2007-013-01,2008-06-20,not_fulfilled,0,strong,https://interoperable-europe.ec.europa.eu/collection/egovernment/document/eu-recommendation-privacy-and-data-protection-applications-supported-radio-frequency-identification,https://interoperable-europe.ec.europa.eu/sites/default/files/document/2014-12/recommendationonrfid2009.pdf,2009-05-12,"The European Commission's final privacy and RFID recommendation was published on 12 May 2009.","Publication occurred nearly eleven months after the frozen 20 June 2008 deadline.","Draft consultation material before the deadline was excluded exactly as preregistered.",Codex,2026-08-08,"Correct institution and instrument, wrong date."
60,CCC-2006-008,01,60-CCC-2006-008-01,2008-12-28,not_fulfilled,0,moderate,https://www.iihs.org/topics/advanced-driver-assistance,,2008,"Contemporaneous model histories show radar- or laser-based collision assistance confined to selected premium models and early introductions; broad standardization and mass-market penetration occurred much later.","No major market approached the frozen greater-than-50% share of new registrations or model lines by December 2008.","Ultrasonic parking aids and camera-only systems were excluded. Available historical model evidence is sufficient to reject majority prevalence, although no single census covers every model line.",Codex,2026-08-08,"The threshold was deliberately stringent; isolated Honda, Toyota, Mercedes, Volvo and similar systems do not satisfy it."
111,CCC-2007-014,01,111-CCC-2007-014-01,2008-12-31,fulfilled,1,strong,https://nvd.nist.gov/vuln/detail/CVE-2008-2639,https://advisories.checkpoint.com/defense/advisories/public/2009/cpai-2008-348.html/,2008,"Public 2008 disclosures affected at least CitectSCADA and DATAC RealWin, two distinct industrial control products; both included remotely reachable buffer-overflow impacts and Citect was rated high with complete-control consequences.","Two distinct product disclosures plus a high-impact case satisfy the frozen worsening proxy.","The evidence concerns process-control products rather than office IT and uses initial 2008 disclosure records.",Codex,2026-08-08,"NIST's 2008 ICS security publications corroborate the contemporaneous exposure context."
111,CCC-2007-014,02,111-CCC-2007-014-02,2008-12-31,fulfilled,1,strong,https://www.secure-medicine.org/icd-study/icd-study.pdf,https://www.emsec.ruhr-uni-bochum.de/research/publications/Keeloq/,2008,"Researchers publicly demonstrated wireless attacks against an implantable cardiac device and a complete cryptanalytic break affecting KeeLoq-based vehicle and building access controllers in 2008.","Medical implants and vehicle/access-control components are two distinct unexpected embedded-device categories first publicly demonstrated that year.","The attacks compromise embedded device functions or trust mechanisms; mere barcode manipulation and ordinary routers are not counted.",Codex,2026-08-08,"Two peer-reviewed or university primary research lines satisfy category breadth."
111,CCC-2007-014,03,111-CCC-2007-014-03,2008-12-31,fulfilled,1,strong,https://www.adobe.com/support/security/advisories/apsa08-03.html,https://www.adobe.com/support/security/advisories/apsa08-08.html,2008,"Adobe issued at least three separate critical 2008 Flash-related advisories or clusters, including APSA08-03, APSA08-08/APSB08-18 and APSA08-09; the Flash Player clickjacking issue affected all supported platforms.","The count reaches three distinct critical clusters and includes cross-platform Flash Player exposure.","Separate disclosures were counted once each; multiple CVEs inside one bulletin were not inflated.",Codex,2026-08-08,"Adobe's archived bulletin index and APSB08-24 provide corroborating year-end security updates."
111,CCC-2007-014,04,111-CCC-2007-014-04,2008-12-31,fulfilled,1,strong,https://www.microsoft.com/en-us/wdsi/threats/malware-encyclopedia-description?Name=Backdoor%3AWin32%2FKoobface.A,https://www.darkreading.com/cyberattacks-data-breaches/koobface-worm-targets-myspace-other-sites,2008-08_to_2008-12,"Microsoft documents Koobface spreading through both MySpace and Facebook, while contemporaneous reporting records expansion to Bebo and other social networks during 2008.","Automated propagation on at least two distinct social-network services directly meets the threshold.","This is cross-service behavior, not merely cross-operating-system execution or copied proof-of-concept code.",Codex,2026-08-08,"Strong vendor evidence for the two-platform minimum."
111,CCC-2007-014,05,111-CCC-2007-014-05,2008-12-31,indeterminate,,weak,https://cloud.googleblog.com/2008/12/google-apps-on-campus-getting-things.html,,2008,"Hosted university email adoption was widespread internationally in 2008, but the located deployment lists do not establish production adoption by two distinct publicly governed German institutions before year end.","The frozen Germany-specific two-institution threshold is neither met nor contradicted by the available evidence.","International universities and mere consideration of hosting were excluded; historical German procurement and deployment records remain incomplete.",Codex,2026-08-08,"Requires German institutional archive research rather than inference from global Google Apps adoption."
80,CCC-2007-012,04,80-CCC-2007-012-04,2008-12-31,indeterminate,,weak,,,2007-2008,"Individual Mac malware families and samples are documented in both years, but no located source provides a stable same-taxonomy family or sample series for 2007 and 2008.","The required direction cannot be computed reproducibly from anecdotes or later undeduplicated lists.","The frozen rule requires comparable series and majority agreement if several exist; missing comparable denominators mandate indeterminate.",Codex,2026-08-08,"Do not substitute total detections or press salience for distinct-family counts."
80,CCC-2007-012,05,80-CCC-2007-012-05,2008-12-31,not_fulfilled,0,moderate,https://support.apple.com/en-us/HT201222,https://www.microsoft.com/en-us/wdsi/threats/malware-encyclopedia-description?Name=Exploit%3AiPhoneOS%2FCVE-2009-2204,2008,"No qualifying 2008 malicious-code family or port linking iPhone OS and Mac OS X was documented. The first widely documented iPhone worms appeared in 2009, while later cross-platform families such as WireLurker appeared years afterward.","The deadline passed without a qualifying sample satisfying target, malicious-code status and shared code or lineage.","Benign jailbreak tools and browser exploits were excluded under the frozen rule; later iPhone or Mac-linked malware cannot satisfy 2008.",Codex,2026-08-08,"Moderate confidence based on platform security histories and malware chronologies."
103,CCC-2008-019,01,103-CCC-2008-019-01,2009-12-31,fulfilled,1,strong,https://privacyrights.org/data-breaches,https://www.gao.gov/products/gao-12-961,2009,"The Privacy Rights Clearinghouse chronology contains well over five distinct 2009 incidents exceeding 100,000 personal records, including Health Net, National Archives media, Virginia health-professions data and other large non-card-only events.","Deduplicated qualifying incidents exceed the frozen minimum of five and each crosses 100,000 records.","Payment-card-only cases were excluded; the result remains above threshold using events involving names, health, Social Security or other personal data.",Codex,2026-08-08,"A reproducible extract of the evolving PRC database should be archived with the final replication package."
103,CCC-2008-019,02,103-CCC-2008-019-02,2009-12-31,fulfilled,1,strong,https://media.ccc.de/v/26c3-3654-en-gsm_srsly,https://arxiv.org/abs/1107.1086,2009-12,"At 26C3, Karsten Nohl and collaborators publicly released distributed A5/1 cracking tables and presented a practical attack path against deployed GSM confidentiality using independently obtainable radio data and tools.","The public tables and accompanying artifacts constitute a reproducible deployed-network attack by 31 December 2009.","Earlier expensive demonstrations were not needed; the 26C3 release supplies the required public artifacts and independent-researcher availability.",Codex,2026-08-08,"Exact conference-deadline hit."
103,CCC-2008-019,03,103-CCC-2008-019-03,2009-12-31,indeterminate,,weak,,,2008-2009,"The audit located examples of geographic-circumvention proxy and VPN growth but not three independent like-for-like series or one authoritative global series measuring qualifying circumvention use in both 2008 and 2009.","The frozen 25% majority or 50% global threshold cannot be calculated.","Corporate VPN counts and total Tor users were not silently treated as geographic-filter bypass usage; incompatible definitions require indeterminate.",Codex,2026-08-08,"Historical commercial VPN market estimates do not isolate the frozen purpose."
103,CCC-2008-019,04,103-CCC-2008-019-04,2009-12-31,fulfilled,1,strong,https://www.adobe.com/support/security/advisories/apsa09-04.html,https://nvd.nist.gov/vuln/detail/CVE-2009-1862,2009,"Adobe's 2009 bulletins and NVD records document more than five distinct high-severity Flash Player vulnerabilities across the year's update clusters; CVE-2009-1862 was exploited in the wild through crafted SWF/PDF content.","The vulnerability count exceeds five and the active-exploitation alternative is directly satisfied.","Distinct CVEs/root causes were counted, not repeated notices for the same patch; ordinary webcam APIs were not counted.",Codex,2026-08-08,"Adobe APSB09-10 and APSB09-19 provide the principal multi-CVE clusters."
103,CCC-2008-019,05,103-CCC-2008-019-05,2009-12-31,not_fulfilled,0,moderate,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20080610-snmpv3.html,https://snmp.com/news/cert_878044.shtml,2009,"The prominent multi-vendor SNMPv3 authentication weakness was publicly disclosed in 2008; Cisco's January 2009 revision added affected products but did not create five distinct 2009 disclosure or incident events. The audit did not identify five qualifying new events in 2009.","The frozen minimum of five was not reached; one to four events are explicitly non-fulfilment.","Duplicate vendor advisories and revisions for VU#878044 were treated as one underlying flaw.",Codex,2026-08-08,"Moderate confidence; a full NVD component query could further document the negative count."
103,CCC-2008-019,06,103-CCC-2008-019-06,2009-12-31,not_fulfilled,0,moderate,https://www.informationactivism.org/en/balloon-mapping-documenting-the-gulf-coast-oil-spill-and-student-protests-chile.html,,2009-2010,"Documented activist balloon-mapping campaigns meeting the predicted imaging-platform concept become visible in 2010 and later; the audit found no evidence of ten separate 2009 deployments across three campaigns or organizations.","The very high frozen breadth threshold was not met in 2009.","Military surveillance balloons, static propaganda balloons without imaging or communications payloads and the DARPA prize balloons themselves were excluded.",Codex,2026-08-08,"A few isolated actions would still score as a miss under the preregistered ten-deployment rule."
103,CCC-2008-019,07,103-CCC-2008-019-07,2009-12-31,indeterminate,,moderate,https://ora.ox.ac.uk/objects/uuid%3A6d1260fd-b8ee-4a11-8a5f-e7708d543651,,2008-2009,"GhostNet provides strong evidence of extensive targeted attacks against Tibetan institutions, NGOs, media and other high-value targets disclosed in 2009, but no comparable series supplies a consistently coded 2008 denominator and 2009 numerator.","Salient 2009 campaigns do not alone establish the frozen 25% year-on-year increase in a majority of series.","Campaign counts cannot be reconstructed without post hoc scope choices; therefore the direction claim is indeterminate.",Codex,2026-08-08,"This distinction prevents a famous event from being treated as proof of trend magnitude."
103,CCC-2008-019,08,103-CCC-2008-019-08,2009-12-31,fulfilled,1,strong,https://ora.ox.ac.uk/objects/uuid%3A6d1260fd-b8ee-4a11-8a5f-e7708d543651,,2009,"The GhostNet investigation documented tailored malicious email and malware operations against Tibetan institutions and a broader network of 1,295 infected hosts in 103 countries, including many NGOs, media and governmental organizations.","A shared group-selective campaign affected far more than five organizations and was publicly documented in 2009.","The campaign used targeted lures and payloads rather than language-only mass spam; multiple victims are part of one qualifying event.",Codex,2026-08-08,"The threshold asks for one campaign, so no year-on-year denominator is needed."
103,CCC-2008-019,09,103-CCC-2008-019-09,2009-12-31,indeterminate,,moderate,https://www.cert-ist.com/eng/ressources/Publications_ArticlesBulletins/VersVirusetAntivirus/symbian_signed_malware/,https://www.virusbulletin.com/blog/2009/07/yxe-trojan-infecting-mobile-phones/,2009,"Yxes/Sexy Space was an in-the-wild signed Symbian worm and mobile botnet that spread through SMS links and affected users in China and the Middle East, but located sources do not establish 10,000 devices or operation across three specifically documented countries or networks.","Occurrence and mechanism are proven, while the frozen scale threshold is not.","Incomparable and unquantified telemetry triggers indeterminate rather than inferring substantial population from press descriptions.",Codex,2026-08-08,"A later Fortinet technical paper may permit a stronger scale judgment if raw telemetry is recoverable."
25,CCC-2007-013,05,25-CCC-2007-013-05,2009-12-31,not_fulfilled,0,strong,https://eur-lex.europa.eu/eli/reco/2009/387/oj/eng,https://interoperable-europe.ec.europa.eu/collection/rolling-plan-ict-standardisation/internet-things-rp-2026,2009,"The Commission issued an RFID privacy recommendation in May 2009 and a separate Internet of Things action plan as Communication COM(2009)278. The recommendation itself addresses RFID applications but does not materially or explicitly constitute an IoT recommendation.","No Commission recommendation explicitly addressing IoT was published by the deadline; the IoT instrument was a communication, not a recommendation.","The frozen rule expressly forbids silently equating the RFID recommendation with an IoT recommendation. Correct instrument type controls the judgment.",Codex,2026-08-08,"Substantive policy activity occurred, but the explicit predicted document type did not."
70,CCC-2009-021,01,70-CCC-2009-021-01,2010-12-31,indeterminate,,moderate,https://www.bfdi.bund.de/SharedDocs/Downloads/EN/Taetigkeitsberichte/23TB_09_10.pdf?__blob=publicationFile&v=5,https://www.bfdi.bund.de/SharedDocs/Downloads/DE/Taetigkeitsberichte/23TB_09_10.pdf?__blob=publicationFile&v=5,2010,"Germany's federal data-protection commissioner explicitly connected smart-meter energy-efficiency objectives with privacy risks and design requirements in 2010, and academic interventions framed the same conflict. The audit did not verify three independent authoritative interventions within the calendar year.","The substance and visibility of the conflict are proven, but the frozen breadth threshold of three authoritative interventions is not securely met.","Later 2011-2012 legal scholarship, WP29 and EDPS opinions were excluded from the 2010 window; uncertainty in independence requires indeterminate.",Codex,2026-08-08,"A targeted search of all German state data-protection commissioner archives could resolve this hold."
70,CCC-2009-021,02,70-CCC-2009-021-02,2010-12-31,fulfilled,1,strong,https://www.ischool.berkeley.edu/research/publications/2010/inferring-personal-information-demand-response-systems,https://colab.ws/articles/10.1145%2F1878431.1878446,2010,"Multiple 2010 studies demonstrated that fine-grained whole-house electricity traces permit inference of appliance use and complex household activity patterns; contemporaneous NILM work experimentally disaggregated appliance operation.","At least two appliance or activity classes were inferred from granular data, satisfying the occurrence threshold.","Monthly aggregate billing was not counted; the cited work uses fine-grained demand traces and statistical disaggregation.",Codex,2026-08-08,"Peer-reviewed primary research directly matches the predicted privacy mechanism."
70,CCC-2009-021,05,70-CCC-2009-021-05,2010-12-31,indeterminate,,weak,,,2010,"Public reporting contains individual fraud-alert card blocks and precautionary replacements, but the audit did not establish three independent large-scale 2010 incidents in which automated scoring materially selected the affected population.","The frozen three-incident threshold cannot be distinguished from ordinary breach-driven mass replacement on available evidence.","Cases where a known breach alone determined replacement were excluded; missing documentation of automation requires indeterminate.",Codex,2026-08-08,"Bank operational opacity makes historical false-positive attribution particularly weak."
70,CCC-2009-021,10,70-CCC-2009-021-10,2010-12-31,not_fulfilled,0,moderate,https://datatracker.ietf.org/doc/html/rfc6092,,2010,"The IETF's residential IPv6 security guidance codified simple security and stateful filtering for customer-premises routers, reflecting the prevailing practice of blocking unsolicited inbound traffic even when endpoints held global addresses.","No documented deployment-weighted sample showed more than half of consumer or mobile IPv6 endpoints directly reachable inbound by year end.","Global addressing was not equated with reachability; the frozen rule explicitly excludes endpoints behind stateful firewalls.",Codex,2026-08-08,"The prediction's architectural intuition missed the default-firewall layer."
70,CCC-2009-021,11,70-CCC-2009-021-11,2010-12-31,fulfilled,1,strong,https://wikileaks.org/wiki/Category%3A2010,https://wikileaks.org/10years/WikiLeaks10yrsPressPack.pdf,2010,"Public leak platforms released numerous distinct datasets in 2010, including Collateral Murder, the Afghan War Diary, the Iraq War Logs, Cablegate, the Reykjavik/Icesave cable and additional independently sourced institutional records.","At least five non-mirror datasets were released, exceeding the frozen recurring-phenomenon threshold.","The four major Manning-derived collections were treated as distinct underlying datasets as permitted by the rule, and independent smaller-source releases make the result robust to grouping them more conservatively.",Codex,2026-08-08,"WikiLeaks alone is sufficient; mirrors were not counted."
100,CCC-2010-028,02,100-CCC-2010-028-02,2011-06-30,not_fulfilled,0,strong,https://www.cve.org/About/Metrics,https://www.heise.de/news/Bericht-Zahl-der-Sicherheitsluecken-nimmt-ab-1433686.html,2011-H1,"CVE's historical quarterly series and Secunia's contemporary statistics show that vulnerability volume in 2011 was below earlier peaks; Secunia counted 14% fewer CVE-linked vulnerabilities in all of 2011 than 2010 and 24% fewer than 2006.","The first half of 2011 did not exceed every earlier half-year in a consistent global series.","The conclusion uses publication-period counts, not later assignment-year labels; no equally comprehensive catalog supports a record.",Codex,2026-08-08,"Strong directional contradiction despite database backfill caveats."
100,CCC-2010-028,01,100-CCC-2010-028-01,2011-12-31,fulfilled,1,strong,https://www.ccc.de/en/updates/2011/staatstrojaner,https://www.ccc.de/en/updates/2011/analysiert-aktueller-staatstrojaner,2011,"The CCC published binaries and two technical analyses of German source-interception malware in October 2011; ensuing admissions documented multiple deployments in Bavaria and other states, alongside separate parliamentary, legal and data-protection investigations.","Distinct deployments plus technical disclosures and accountability proceedings exceed five events, with primary technical artifacts satisfying the source requirement.","Repeated press stories about one binary were deduplicated; separate target deployments and state proceedings count under the frozen rule.",Codex,2026-08-08,"This prediction strongly fulfilled both occurrence and salience."
100,CCC-2010-028,03,100-CCC-2010-028-03,2011-12-31,not_fulfilled,0,moderate,https://www.eff.org/deeplinks/2011/02/newly-released-documents-detail-fbi-s-plan-expand,https://www.fbi.gov/news/speeches-and-testimony/going-dark-encryption-technology-and-the-balances-between-public-safety-and-privacy,2011,"The United States FBI publicly advanced modernization of lawful-intercept obligations for Internet services, and the United Kingdom continued its Communications Capabilities Development Programme. The audit did not establish a third distinct qualifying 2011 initiative across the required institutions or jurisdictions.","Two identifiable initiatives fall short of the frozen minimum of three.","General cybercrime proposals without an access, attribution or encryption-control mechanism were excluded; later UK draft legislation from 2012 and later encryption debates do not qualify.",Codex,2026-08-08,"Near miss: the policy direction was real but the preregistered breadth threshold was not reached."
27,CCC-2012-032,08,27-CCC-2012-032-08,2013-01-27,fulfilled,1,strong,https://www.camara.leg.br/noticias/365888-projeto-propoe-reforma-na-lei-de-direito-,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=534039,2012,"Brazil's Chamber of Deputies formally considered Bill 3133/2012, a broad copyright-law reform whose official Chamber account explicitly says it was prepared with suggestions from FGV's Center for Technology and Society.","A qualifying FGV-linked bill was introduced and under parliamentary consideration before 27 January 2013.","The institutional linkage is stated by the legislature itself; later ECAD legislation was not needed to satisfy the threshold.",Codex,2026-08-08,"Clear fulfilment several months before the deadline."
41,CCC-2011-031,01,41-CCC-2011-031-01,2012-12-31,indeterminate,,weak,,,2012,"The search found attacks and implementation weaknesses affecting authentication systems, but did not isolate a 2012 primary technical disclosure in which the hardware banking token itself was the practical bypass path under the frozen definition.","Available records cannot establish the required qualifying disclosure.","Server-side banking compromises and social engineering that merely solicit a token code were excluded.",Codex,2026-08-08,"Historical product opacity prevents a defensible binary judgment."
41,CCC-2011-031,02,41-CCC-2011-031-02,2012-12-31,indeterminate,,weak,,,2012,"Public lock-security demonstrations existed in 2012, but the audit could not verify three distinct marketed product families, each using an already-known weak smart-card technology, from preserved primary technical material.","The frozen three-family threshold remains unverified.","Multiple locks sharing one underlying product family or newly discovered weaknesses were not counted twice.",Codex,2026-08-08,"Conference-video survival is insufficient for reliable product-family coding."
