prediction_key,prediction_class_frozen,horizon_source_frozen,prediction_type_frozen,authorship_frozen,modal_word_in_excerpt,contextual_review_priority,review_question,source_segment_reviewed_v1_4,speaker_commitment_reassessment,threshold_translation_reassessment,proposed_addendum
27-CCC-2012-032-02,B,inherited_from_immediately_preceding_sentence,occurrence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
27-CCC-2012-032-03,B,inherited_from_immediately_preceding_sentence,textual_similarity,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
27-CCC-2012-032-04,B,individual,non_occurrence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
27-CCC-2012-032-08,B,individual,occurrence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
30-CCC-2018-076-02,B,context_inherited,occurrence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
30-CCC-2018-076-03,B,individual,compound_state,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
30-CCC-2018-076-08,B,individual,occurrence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
31-VB-2016-P01-01,B,individual_range_upper_bound,count,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
31-VB-2016-P01-02,B,individual,count,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
31-VB-2016-P01-06,B,section_inherited,capability_maturation,adoptada,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
31-VB-2016-P01-07,B,section_inherited,count,adoptada,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
31-VB-2016-P01-08,B,section_inherited,capability_maturation,adoptada,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
31-VB-2016-P01-09,B,section_inherited,count,adoptada,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
31-VB-2016-P01-10,B,section_inherited,capability_maturation,adoptada,could,P0,Roadmap stage states a capability a product could have; adoption as forecast requires contextual verification.,no,not_assessed,not_assessed,
31-VB-2016-P01-11,B,section_inherited,capability_maturation,adoptada,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
34-CCC-2013-034-08,B,individual,count,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
34-CCC-2013-034-09,B,inherited_from_preceding_sentence,count,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
34-CCC-2013-034-10,B,inherited_from_preceding_sentence,proportion,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
34-CCC-2013-034-11,B,individual,occurrence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
34-CCC-2013-034-12,B,individual,count,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
34-CCC-2013-034-13,B,section_inherited,occurrence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
34-CCC-2013-034-14,B,individual,occurrence,propia,könnte,P0,German 'könnte es passieren' expresses possibility; speaker commitment is not yet independently established.,no,not_assessed,not_assessed,
36-BHKEY-2017-01-10,B,individual,count,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
39-CCC-2006-011-01,B,section_heading,count,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
39-CCC-2006-011-03,B,section_inherited,occurrence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
39-CCC-2006-011-04,B,section_inherited,occurrence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
39-CCC-2006-011-05,B,section_inherited,trend,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
39-CCC-2006-011-06,B,section_inherited,occurrence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
39-CCC-2006-011-11,B,section_inherited,trend,adoptada,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
39-CCC-2006-011-13,B,individual,occurrence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
41-CCC-2011-031-01,B,section_inherited,occurrence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
41-CCC-2011-031-02,B,individual,count,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
41-CCC-2011-031-03,B,section_inherited,occurrence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
41-CCC-2011-031-04,B,section_inherited,trend,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
41-CCC-2011-031-05,B,individual,occurrence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
41-CCC-2011-031-06,B,section_inherited,conjunctive_occurrence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
41-CCC-2011-031-07,B,section_inherited,occurrence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
41-CCC-2011-031-08,B,individual,trend,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
43-CCC-2017-073-01,B,individual,trend,adoptada,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
43-CCC-2017-073-02,B,section_inherited,trend,adoptada,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
44-VB-2015-P02-01,B,individual,count,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
45-CCC-2005-006-01,B,individual,occurrence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
45-CCC-2005-006-02,B,individual,occurrence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
45-CCC-2005-006-03,B,individual,occurrence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
49-CCC-2018-074-01,B,contextual_deadline,categorical,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
51-BHPRO-2012-03-01,B,individual,count,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
51-BHPRO-2012-03-02,B,individual,prevalence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
51-BHPRO-2012-03-03,B,section_inherited,count,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
51-BHPRO-2012-03-04,B,section_inherited,count,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
51-BHPRO-2012-03-05,B,section_inherited,trend,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
51-BHPRO-2012-03-06,B,section_inherited,count,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
51-BHPRO-2012-03-07,B,section_inherited,categorical,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
51-BHPRO-2012-03-08,B,individual,occurrence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
59-CCC-2016-060-01,B,individual,categorical,propia,können,P1,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
59-CCC-2016-060-05,B,individual,occurrence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
59-CCC-2016-060-06,B,individual,occurrence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
59-CCC-2016-060-07,B,section_inherited,occurrence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
59-CCC-2016-060-11,B,individual,occurrence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
60-CCC-2006-008-01,B,individual,prevalence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
70-CCC-2009-021-01,B,individual,count,kollektiv_panel,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
70-CCC-2009-021-02,B,section_inherited,occurrence,kollektiv_panel,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
70-CCC-2009-021-05,B,section_inherited,count,kollektiv_panel,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
70-CCC-2009-021-10,B,section_inherited,prevalence,kollektiv_panel,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
70-CCC-2009-021-11,B,section_inherited,count,kollektiv_panel,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
80-CCC-2007-012-04,B,question_inherited,direction,propia_respuesta,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
80-CCC-2007-012-05,B,question_inherited,occurrence,propia_respuesta,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
92-CCC-2014-045-01,B,explicit,prevalence,co_presentacion,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
93-BHKEY-2015-01-01,B,explicit,share,propia_keynote,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
100-CCC-2010-028-01,B,explicit,count,kollektiv_panel,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
100-CCC-2010-028-02,B,explicit_recurring_first_period,record,kollektiv_panel,können,P1,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
100-CCC-2010-028-03,B,explicit,count,kollektiv_panel,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
100-CCC-2010-028-04,B,explicit,adoption,kollektiv_panel,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
103-CCC-2008-019-01,B,explicit,count,kollektiv_panel,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
103-CCC-2008-019-02,B,explicit,occurrence,kollektiv_panel,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
103-CCC-2008-019-03,B,section_inherited,direction,kollektiv_panel,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
103-CCC-2008-019-04,B,explicit,count,kollektiv_panel,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
103-CCC-2008-019-05,B,explicit,count,kollektiv_panel,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
103-CCC-2008-019-06,B,explicit,count,kollektiv_panel,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
103-CCC-2008-019-07,B,explicit,direction,kollektiv_panel,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
103-CCC-2008-019-08,B,section_inherited,occurrence,kollektiv_panel,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
103-CCC-2008-019-09,B,explicit,occurrence,kollektiv_panel,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
104-CCC-2010-024-01,B,explicit,occurrence,propia_presentacion,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
111-CCC-2007-014-01,B,section_inherited_and_individual,direction,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
111-CCC-2007-014-02,B,section_inherited_and_individual,occurrence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
111-CCC-2007-014-03,B,section_inherited_and_individual,occurrence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
111-CCC-2007-014-04,B,individual,occurrence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
111-CCC-2007-014-05,B,section_inherited,occurrence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
112-CCC-2012-034-01,B,individual,persistence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
123-CCC-2014-048-01,B,section_inherited_and_individual,salience,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
123-CCC-2014-048-02,B,individual,salience,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
123-CCC-2014-048-03,B,section_inherited,occurrence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
126-CCC-2016-058-01,B,individual,nonoccurrence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
127-CCC-2012-037-01,B,individual_and_section,nonoccurrence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
127-CCC-2012-037-02,B,individual,salience,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
127-CCC-2012-037-03,B,section_inherited_and_individual,occurrence_and_breadth,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
130-CCC-2017-061-06,B,individual,adoption,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
131-CCC-2015-056-01,B,section_inherited,occurrence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
131-CCC-2015-056-02,B,section_inherited,occurrence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
131-CCC-2015-056-03,B,section_inherited,direction,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
131-CCC-2015-056-04,B,individual,persistence_and_adoption,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
131-CCC-2015-056-05,B,individual,salience_and_occurrence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
133-CCC-2017-072-01,A,individual_with_context,occurrence,propia,,P3,Check direct scoreability against the original segment.,no,not_assessed,not_assessed,
136-CCC-2017-062-01,B,individual,adoption,propia_adopted,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
136-CCC-2017-062-02,B,individual,design_feature,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
136-CCC-2017-062-03,B,context_inherited_and_individual,design_feature,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
136-CCC-2017-062-04,B,section_inherited,policy_consequence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
