prediction_key,selection_order,session_id,candidate_order,source_url,source_timestamp_or_page,speaker,verbatim_text,context_text,atomic_restatement,horizon_literal,deadline,indicator_frozen,threshold_success_frozen,threshold_contradiction_frozen,semantic_fidelity,alternative_restatement,rationale,independent_coder,evaluated_at,problem_type,could_change_judgment,confidence,model_name,model_version,run_id
80-CCC-2007-012-04,80,CCC-2007-012,04,https://media.ccc.de/v/24c3-2233-en-vx,00:54:39-00:55:53,SkyOut,[Question:] Do you think for 2008 you will see an increase of viruses to Macintosh? ... [Answer:] I think yes ... with increasing Mac users viruses will increase as well.,The audience question supplies the explicit calendar-year horizon; the speaker repeats the Macintosh-increase proposition and adopts it before explaining the platform-adoption mechanism.,"During calendar year 2008, the documented number of distinct malicious-code families or samples targeting Mac OS X will increase relative to calendar year 2007.",for 2008,2008-12-31,"Comparable annual malware catalogs, antivirus telemetry reports or platform-security chronologies report distinct Mac OS X-targeting malicious-code families or samples for both 2007 and 2008.","The 2008 count exceeds the 2007 count in the same qualifying series; if multiple comparable series disagree, a majority must show an increase.",The 2008 count is at least 25% lower than the 2007 count in every qualifying comparable series; equality or a smaller decline is non-fulfilment.,yes,In 2008, the number of malware families or threats targeting Mac OS X will increase compared to 2007.,"The atomic restatement captures the precise directional prediction regarding Mac OS X malware in 2008.",Gemini,2026-09-22T15:25:00Z,,no,high,Gemini,1.5-Pro,run_blind_eval_001
41-CCC-2011-031-02,41,CCC-2011-031,02,https://media.ccc.de/v/28c3-4898-de-security_nightmares,01:07:16-01:07:41,Frank Rieger and Ron,Wenn wir im Jahr 2012 ... da würden wir eine ganze Reihe von kaputten Schließsystemen sehen.,The speakers cite newly sold locks still using already-broken smart-card technologies such as MIFARE Classic.,"During 2012, multiple electronic access-control or locking systems sold or deployed with already-known weak smart-card technology will be publicly shown vulnerable.",im Jahr 2012,2012-12-31,"Researcher primary material, vendor advisories or CVE-linked analyses published in 2012 demonstrate unauthorized unlocking, credential cloning or access-control bypass in at least three distinct commercial lock or access-control product families whose enabling weakness was known before their deployment or sale.",At least three distinct qualifying product families are publicly demonstrated vulnerable during 2012.,One or zero qualifying product families is contradiction; two is non-fulfilment.,yes,During 2012, public disclosures will demonstrate vulnerabilities in several commercial electronic locking systems using known weak smart cards.,"The restatement accurately translates the prediction of broken locking systems due to legacy weak card tech in 2012.",Gemini,2026-09-22T15:25:00Z,,no,high,Gemini,1.5-Pro,run_blind_eval_001
59-CCC-2016-060-06,59,CCC-2016-060,06,https://media.ccc.de/v/33c3-8413-security_nightmares_0x11,01:02:19-01:02:36,Frank,"Vielleicht nicht nächstes Jahr, aber übernächstes Jahr ... wir brauchen bald Werbeblocker-Blocker-Blocker und die müssen natürlich auch so langsam intelligent werden, d. h., wir werden so eine verteilte Intelligenz bauen, die uns die Werbeblocker-Blocker blockt.",The talk date makes 'the year after next' calendar year 2018; this is the defensive side of the predicted automated arms race.,"By 31 December 2018, an ad-blocking system will publicly use distributed or adaptive algorithmic logic specifically to defeat anti-ad-blocking mechanisms.",übernächstes Jahr,2018-12-31,"Project code, technical documentation or a contemporaneous researcher demonstration by the deadline identifies a distributed, crowd-updated, machine-learned or otherwise adaptive mechanism whose explicit purpose is to detect or defeat anti-adblock scripts.",At least one operational public implementation meets both the adaptive/distributed and anti-anti-adblock criteria by the deadline.,Authoritative records show attempted qualifying systems were abandoned without an operational implementation; mere absence is non-fulfilment.,yes,By 31 December 2018, ad-blocking systems will incorporate distributed or adaptive logic to counter anti-ad-blocking mechanisms.,"The restatement reflects the specific mechanism and 2018 timeline derived from 'übernächstes Jahr'.",Gemini,2026-09-22T15:25:00Z,,no,high,Gemini,1.5-Pro,run_blind_eval_001
103-CCC-2008-019-07,103,CCC-2008-019,07,https://media.ccc.de/v/25c3-3021-de-security_nightmares_2009,00:55:12-00:55:48,Frank Rieger and Ron,"Targeted Attacks ... Denken wir, 2009 wird auch zunehmen ... 2008 schon gezielte Angriffe gegen kleine NGOs gesehen, die mit Zero-Days vorgetragen wurden.",The comparison is explicitly directional from the 2008 NGO examples into calendar 2009.,"During 2009, publicly documented targeted cyberattacks against NGOs, journalists or civil-society groups will increase relative to 2008.",2009 wird auch zunehmen,2009-12-31,"Comparable threat reports, incident repositories or civil-society security records enumerate targeted attacks or campaigns against the defined population in both years.",The 2009 count exceeds the 2008 count by at least 25% in a majority of qualifying comparable series.,Every qualifying series shows a decline of at least 25%; a smaller change or mixed direction is non-fulfilment or indeterminable.,yes,During 2009, targeted cyberattacks against non-governmental organizations and civil society groups will increase compared to 2008.,"The atomic restatement captures the directional increase predicted for targeted civil-society attacks in 2009.",Gemini,2026-09-22T15:25:00Z,,no,high,Gemini,1.5-Pro,run_blind_eval_001
23-CCC-2018-085-01,23,CCC-2018-085,01,https://media.ccc.de/v/35c3-10030-security_nightmares_0x13,00:53:51-00:54:56,Frank_Rieger_and_Ron,Mikroprozessoren werden in nahezu allen denkbaren Geräten sein; das Nichtvorhandensein wird die Ausnahme.,The speakers explicitly introduce keywords for the next year immediately before this block.,"By the end of 2019, programmable processors will be present in nearly all categories of electrically powered feature-bearing consumer devices, with processor-free products becoming exceptional.",Stichworten für das nächste Jahr,2019-12-31,"Representative product teardowns, engineering surveys and market catalogues covering appliances, lighting or switches, toys, vehicle accessories and consumer infrastructure.",Qualifying evidence covering at least four of five listed categories shows programmable controllers in at least 80% of sampled newly sold feature-bearing electrical products in 2019.,Representative evidence covering at least four categories shows processor presence below 50% in a majority of categories; incomplete or nonrepresentative evidence is indeterminable.,yes,By the end of 2019, microprocessors will be integrated into nearly every category of consumer electrical products.,"The restatement accurately conveys the ubiquity forecast for microprocessors across consumer products by end of 2019.",Gemini,2026-09-22T15:25:00Z,,no,high,Gemini,1.5-Pro,run_blind_eval_001
23-CCC-2018-085-06,23,CCC-2018-085,06,https://media.ccc.de/v/35c3-10030-security_nightmares_0x13,00:58:45-00:58:54,Frank_Rieger_and_Ron,Bei dem PC-Mittelfeld geht weniger.,"The speakers partition the attack landscape into improved user systems, weak IoT, the PC middle field and high-end targets.","During 2019, conventional commodity attacks against personal computers will decline relative to 2018.",Stichworten für das nächste Jahr,2019-12-31,"Comparable annual endpoint-security telemetry, malware encounter reports and incident datasets for 2018-2019.","A majority of at least three independent comparable global or multi-country sources report a decline of at least 10% in conventional commodity PC malware, exploit detections or incidents in 2019 versus 2018.","A majority of at least three comparable sources report an increase of at least 10%; mixed, definition-shifted or smaller changes are indeterminable.",yes,During 2019, commodity cyberattacks against mainstream personal computers will decrease relative to 2018.,"The restatement correctly interprets 'bei dem PC-Mittelfeld geht weniger' as a relative decline in commodity PC attacks during 2019.",Gemini,2026-09-22T15:25:00Z,,no,high,Gemini,1.5-Pro,run_blind_eval_001
41-CCC-2011-031-08,41,CCC-2011-031,08,https://media.ccc.de/v/28c3-4898-de-security_nightmares,01:27:33-01:27:50,Frank Rieger and Ron,"Es wird vermutlich dazu kommen 2012, dass wir mehr Kollisionen sehen zwischen dem, was tatsächlich technisch implementiert ist, und den Erwartungen ... an die Privatsphäre.",The speakers distinguish expectation violations from formal legal violations and frame them as platform or technology controversies.,"During 2012, public controversies over digital platforms violating users' reasonable privacy expectations will increase compared with 2011.",2012,2012-12-31,"Apply the same frozen search and coding protocol to 2011 and 2012: count distinct controversies documented by at least two independent reputable news sources in which a platform or device behaviour concerning personal data materially contradicted an expressed user-facing promise, default expectation or contemporaneous user survey, regardless of formal illegality.",The qualifying 2012 controversy count exceeds the 2011 count.,The 2012 count is lower than 2011; equality is non-fulfilment.,yes,In 2012, public disputes regarding digital platform practices clashing with privacy expectations will increase versus 2011.,"The restatement accurately captures the predicted surge in expectation-versus-implementation privacy clashes during 2012.",Gemini,2026-09-22T15:25:00Z,,no,high,Gemini,1.5-Pro,run_blind_eval_001
51-BHPRO-2012-03-04,51,BHPRO-2012-03,04,https://www.youtube.com/watch?v=S34b4kNUIos,00:58:53-00:59:33,Alex Stamos,Realistically what this means is that proxies are going to become extremely important ... route all the traffic through a proxy ... and do authentication at a higher level than the IP level.,The reason is that a dual-stack endpoint may have multiple changing addresses that security products must bind to one identity.,"By 26 July 2017, major enterprise security architectures will recommend or deploy authenticated application-layer proxies to correlate dual-stack endpoint traffic above the IP-address layer.",in the next four or five years,2017-07-26,At least three major security/network vendors or independent enterprise case studies by the deadline explicitly use authenticated application-layer proxies or secure web gateways to associate traffic from changing IPv4/IPv6 addresses with a user or device identity for monitoring or policy enforcement.,At least three independent qualifying architectures or deployments are documented.,No qualifying architecture is documented; one or two are non-fulfilment.,yes,By July 2017, enterprise security frameworks will increasingly deploy application-layer proxies to authenticate traffic above the IP layer.,"The restatement captures the core concept of shifting authentication to application-layer proxies over the specified timeframe.",Gemini,2026-09-22T15:25:00Z,,no,high,Gemini,1.5-Pro,run_blind_eval_001
36-BHKEY-2017-01-10,36,BHKEY-2017-01,10,https://www.youtube.com/watch?v=YJOMTAREFtY,00:25:38-00:25:46,Alex Stamos,The things we are talking about this year are going to become the startups that you'll see over the next two years.,The keynote discusses Black Hat's role in turning emerging research and technical themes into defensive products and companies.,"By 26 July 2019, at least three cybersecurity startups will have been publicly launched whose central product is directly traceable to research or a technical problem presented at Black Hat USA 2017.",over the next two years,2019-07-26,"Company formation records, launch announcements, founder accounts or investor materials identify a central product and explicitly connect its origin to a Black Hat USA 2017 talk, released tool, research team or named technical problem represented in that programme.",At least three distinct startups with documented direct links launch by the deadline.,A comprehensive programme-to-company search finds no directly linked startup; one or two are non-fulfilment.,yes,By July 2019, multiple cybersecurity startups will launch with core products originating from research presented at Black Hat USA 2017.,"The restatement accurately summarizes the translation of Black Hat 2017 research into commercial startups within two years.",Gemini,2026-09-22T15:25:00Z,,no,high,Gemini,1.5-Pro,run_blind_eval_001
41-CCC-2011-031-04,41,CCC-2011-031,04,https://media.ccc.de/v/28c3-4898-de-security_nightmares,01:10:38-01:11:50,Frank Rieger and Ron,"Immer mehr Geräte ... kommen in den Markt ... und man dann schon mehr anfangen wird, dass man suchen muss, wenn man einen richtigen Computer haben will.",The speakers define these as devices formerly called computers but restricted to vendor-approved software and lacking ordinary user control.,"During 2012, major consumer-computing vendors will expand the number of newly marketed device families that restrict ordinary software installation to a vendor-controlled store or signed boot path.",für 2012,2012-12-31,"Using contemporaneous manufacturer launch and platform documentation, compare 2011 and 2012 counts of newly launched device families by the five largest relevant consumer-computing vendors that, by default, accept applications only through a vendor-controlled store or enforce a vendor-controlled signed boot chain without a supported user opt-out.",The qualifying 2012 family count exceeds the 2011 count under the same vendor set and coding rules.,The 2012 count is lower than 2011; equality is non-fulfilment.,yes,In 2012, major device vendors will increase the rollout of locked-down hardware models restricting software installation to approved stores.,"The restatement correctly captures the trend towards locked-down/app-store-restricted computing hardware in 2012.",Gemini,2026-09-22T15:25:00Z,,no,high,Gemini,1.5-Pro,run_blind_eval_001
45-CCC-2005-006-01,45,CCC-2005-006,01,https://media.ccc.de/v/22C3-600-de-security_nightmares,00:06:39-00:07:10,Frank Rieger and Ron,"Jedes einzelne neue [Instant-Messaging-]System ... wurde ... angegriffen. Da haben wir sicherlich auch nächstes Jahr noch Spaß. Ja, das geht so weiter.",The retrospective identifies attacks against Skype and multiple messaging clients and then explicitly extends the pattern into the following year.,"During 2006, at least one newly released or materially new instant-messaging client or service will receive a public security disclosure enabling remote code execution, credential theft or unauthorized message/session access.",nächstes Jahr,2006-12-31,"A vendor advisory, CVE record plus technical analysis or researcher primary disclosure published in 2006 documents remote code execution, credential theft or unauthorized access to messages or sessions in an instant-messaging client/service first released or materially relaunched during 2005-2006.",At least one qualifying disclosure occurs during 2006.,A comprehensive authoritative review finds no qualifying disclosure; absence alone is non-fulfilment.,yes,During 2006, public security disclosures will target newly released or updated instant messaging applications.,"The restatement accurately captures the prediction that new IM platforms would face public security disclosures in 2006.",Gemini,2026-09-22T15:25:00Z,,no,high,Gemini,1.5-Pro,run_blind_eval_001
51-BHPRO-2012-03-08,51,BHPRO-2012-03,08,https://www.youtube.com/watch?v=S34b4kNUIos,00:52:48-00:53:10,Alex Stamos,When these [new gTLDs] come live next year ... many ... are going to support IDNs ... in your Splunk logs and ArcSight you're going to start to see [non-Latin] characters as the reverse DNS lookup.,The scheduled launch itself is not counted; the prediction concerns an observable operational consequence for security logs.,"During 2013, enterprise security or DNS logs will publicly document non-Latin internationalized new-gTLD labels appearing in operational name-resolution records.",next year,2013-12-31,"A security-vendor case study, operator report, researcher dataset or enterprise primary account from 2013 shows a non-Latin IDN top-level label delegated under the new-gTLD program appearing in reverse/forward DNS output, SIEM records or security-analysis logs.",At least one qualifying operational log example is documented during 2013.,Authoritative delegation and logging records establish that no non-Latin new-gTLD label appeared in qualifying logs in 2013; absence alone is non-fulfilment.,yes,In 2013, enterprise security logs will display non-Latin IDN characters resulting from new gTLD delegations.,"The restatement accurately mirrors the operational log consequences predicted for new internationalized gTLDs in 2013.",Gemini,2026-09-22T15:25:00Z,,no,high,Gemini,1.5-Pro,run_blind_eval_001
103-CCC-2008-019-09,103,CCC-2008-019,09,https://media.ccc.de/v/25c3-3021-de-security_nightmares_2009,01:33:10-01:33:35,Frank Rieger and Ron,"Der Grund, warum es bisher keine großflächigen Mobile-Malware-Attacken gibt, ist mitnichten, dass die Operator gut filtern ... Schauen wir mal. Insofern haben wir gute Hoffnung für 2009.",The closing line sarcastically but affirmatively adopts the session's recurring mobile-malware prediction for 2009 after rejecting operator filtering as the protective mechanism.,"During 2009, at least one mobile-malware campaign will spread or cause unauthorized premium-message, data-access or service-disruption effects across a substantial population of phones beyond a laboratory demonstration.",gute Hoffnung für 2009,2009-12-31,"Mobile-operator advisories, antivirus telemetry, primary malware analyses or contemporaneous incident reports document propagation or effects and affected-device scale.","At least one qualifying campaign affects or is detected on at least 10,000 devices, or operates across at least three mobile networks or countries during 2009.","Authoritative 2009 mobile-threat reports identify no campaign exceeding 1,000 devices or one network; intermediate scale is non-fulfilment and incomparable telemetry is indeterminable.",yes,During 2009, a widespread mobile malware attack will affect consumer mobile devices outside of lab settings.,"The restatement captures the forecast for non-laboratory mobile malware spread across real devices in 2009.",Gemini,2026-09-22T15:25:00Z,,no,high,Gemini,1.5-Pro,run_blind_eval_001
39-CCC-2006-011-06,39,CCC-2006-011,06,https://media.ccc.de/v/23C3-1682-de-security_nightmares,00:52:36-00:53:25,Frank Rieger and Ron,"Voice-over-IP-Boxen, IPTV-Boxen und Media-Player-Boxen ... die werden Infrastruktur ... Spam-Botnet ... oder eine Tor-Node.",The speakers note that alternative operating systems could turn low-power always-on boxes into network nodes.,"During 2007, consumer VoIP, IPTV or media-player set-top boxes will be publicly documented operating as botnet infrastructure or Tor nodes.",für 2007,2007-12-31,"Incident reports, malware analyses or Tor project/community archives document at least one deployed qualifying consumer box used as a bot, command/relay component, spam node or Tor relay during 2007.",At least one botnet case or one verifiable Tor-node deployment occurs by year end.,Authoritative device and Tor records rule out both uses across the qualifying population; absence is non-fulfilment.,yes,In 2007, consumer VoIP or media set-top boxes will be documented serving as botnet nodes or Tor relays.,"The restatement faithfully reflects the prediction that set-top appliances would be co-opted into network infrastructure during 2007.",Gemini,2026-09-22T15:25:00Z,,no,high,Gemini,1.5-Pro,run_blind_eval_001
