prediction_key,selection_order,session_id,candidate_order,source_url,source_timestamp_or_page,speaker,verbatim_text,context_text,atomic_restatement,horizon_literal,deadline,indicator_frozen,threshold_success_frozen,threshold_contradiction_frozen,semantic_fidelity,alternative_restatement,rationale,independent_coder,evaluated_at,problem_type,could_change_judgment,confidence,model_name,model_version,run_id
80-CCC-2007-012-04,80,CCC-2007-012,04,https://media.ccc.de/v/24c3-2233-en-vx,00:54:39-00:55:53,SkyOut,[Question:] Do you think for 2008 you will see an increase of viruses to Macintosh? ... [Answer:] I think yes ... with increasing Mac users viruses will increase as well.,The audience question supplies the explicit calendar-year horizon; the speaker repeats the Macintosh-increase proposition and adopts it before explaining the platform-adoption mechanism.,"During calendar year 2008, the documented number of distinct malicious-code families or samples targeting Mac OS X will increase relative to calendar year 2007.",for 2008,2008-12-31,"Comparable annual malware catalogs, antivirus telemetry reports or platform-security chronologies report distinct Mac OS X-targeting malicious-code families or samples for both 2007 and 2008.","The 2008 count exceeds the 2007 count in the same qualifying series; if multiple comparable series disagree, a majority must show an increase.",The 2008 count is at least 25% lower than the 2007 count in every qualifying comparable series; equality or a smaller decline is non-fulfilment.,yes,The number of distinct Mac OS X malware families or samples documented in 2008 will be greater than the number documented in 2007.,"The verbatim answer affirms an increase of Macintosh viruses for 2008, and the atomic restatement preserves the calendar-year comparison and the malware-count proposition without adding or dropping qualifiers.",DeepSeek (AI),2026-09-22,directional_trend_prediction,no,high,DeepSeek,deepseek-flash,deepseek-api-2026-09-22
41-CCC-2011-031-02,41,CCC-2011-031,02,https://media.ccc.de/v/28c3-4898-de-security_nightmares,01:07:16-01:07:41,Frank Rieger and Ron,Wenn wir im Jahr 2012 ... da würden wir eine ganze Reihe von kaputten Schließsystemen sehen.,The speakers cite newly sold locks still using already-broken smart-card technologies such as MIFARE Classic.,"During 2012, multiple electronic access-control or locking systems sold or deployed with already-known weak smart-card technology will be publicly shown vulnerable.",im Jahr 2012,2012-12-31,"Researcher primary material, vendor advisories or CVE-linked analyses published in 2012 demonstrate unauthorized unlocking, credential cloning or access-control bypass in at least three distinct commercial lock or access-control product families whose enabling weakness was known before their deployment or sale.",At least three distinct qualifying product families are publicly demonstrated vulnerable during 2012.,One or zero qualifying product families is contradiction; two is non-fulfilment.,yes,"In 2012, at least three commercial electronic lock or access-control product families using previously known weak smart-card technology will be publicly demonstrated as vulnerable.","The German sentence predicts seeing a whole series of broken locking systems in 2012, and the atomic restatement captures the 2012 horizon, multiplicity, and lock/access-control vulnerability claim.",DeepSeek (AI),2026-09-22,event_occurrence_prediction,no,high,DeepSeek,deepseek-flash,deepseek-api-2026-09-22
59-CCC-2016-060-06,59,CCC-2016-060,06,https://media.ccc.de/v/33c3-8413-security_nightmares_0x11,01:02:19-01:02:36,Frank,"Vielleicht nicht nächstes Jahr, aber übernächstes Jahr ... wir brauchen bald Werbeblocker-Blocker-Blocker und die müssen natürlich auch so langsam intelligent werden, d. h., wir werden so eine verteilte Intelligenz bauen, die uns die Werbeblocker-Blocker blockt.",The talk date makes 'the year after next' calendar year 2018; this is the defensive side of the predicted automated arms race.,"By 31 December 2018, an ad-blocking system will publicly use distributed or adaptive algorithmic logic specifically to defeat anti-ad-blocking mechanisms.",übernächstes Jahr,2018-12-31,"Project code, technical documentation or a contemporaneous researcher demonstration by the deadline identifies a distributed, crowd-updated, machine-learned or otherwise adaptive mechanism whose explicit purpose is to detect or defeat anti-adblock scripts.",At least one operational public implementation meets both the adaptive/distributed and anti-anti-adblock criteria by the deadline.,Authoritative records show attempted qualifying systems were abandoned without an operational implementation; mere absence is non-fulfilment.,yes,"By the end of 2018, at least one publicly operational ad-blocking system will use distributed or adaptive algorithmic logic specifically to defeat anti-ad-blocking mechanisms.","The speaker predicts needing intelligent ad-blocker-blocker-blockers and building distributed intelligence to block them, which the atomic restatement renders as an adaptive/distributed anti-anti-adblock implementation by 2018.",DeepSeek (AI),2026-09-22,capability_emergence_prediction,no,medium,DeepSeek,deepseek-flash,deepseek-api-2026-09-22
103-CCC-2008-019-07,103,CCC-2008-019,07,https://media.ccc.de/v/25c3-3021-de-security_nightmares_2009,00:55:12-00:55:48,Frank Rieger and Ron,"Targeted Attacks ... Denken wir, 2009 wird auch zunehmen ... 2008 schon gezielte Angriffe gegen kleine NGOs gesehen, die mit Zero-Days vorgetragen wurden.",The comparison is explicitly directional from the 2008 NGO examples into calendar 2009.,"During 2009, publicly documented targeted cyberattacks against NGOs, journalists or civil-society groups will increase relative to 2008.",2009 wird auch zunehmen,2009-12-31,"Comparable threat reports, incident repositories or civil-society security records enumerate targeted attacks or campaigns against the defined population in both years.",The 2009 count exceeds the 2008 count by at least 25% in a majority of qualifying comparable series.,Every qualifying series shows a decline of at least 25%; a smaller change or mixed direction is non-fulfilment or indeterminable.,yes,"The number of publicly documented targeted cyberattacks against NGOs, journalists, or civil-society groups in 2009 will be greater than in 2008.","The verbatim text states targeted attacks will also increase in 2009 after 2008 examples against small NGOs, and the atomic restatement preserves the year-over-year increase and target population.",DeepSeek (AI),2026-09-22,directional_trend_prediction,no,high,DeepSeek,deepseek-flash,deepseek-api-2026-09-22
23-CCC-2018-085-01,23,CCC-2018-085,01,https://media.ccc.de/v/35c3-10030-security_nightmares_0x13,00:53:51-00:54:56,Frank_Rieger_and_Ron,Mikroprozessoren werden in nahezu allen denkbaren Geräten sein; das Nichtvorhandensein wird die Ausnahme.,The speakers explicitly introduce keywords for the next year immediately before this block.,"By the end of 2019, programmable processors will be present in nearly all categories of electrically powered feature-bearing consumer devices, with processor-free products becoming exceptional.",Stichworten für das nächste Jahr,2019-12-31,"Representative product teardowns, engineering surveys and market catalogues covering appliances, lighting or switches, toys, vehicle accessories and consumer infrastructure.",Qualifying evidence covering at least four of five listed categories shows programmable controllers in at least 80% of sampled newly sold feature-bearing electrical products in 2019.,Representative evidence covering at least four categories shows processor presence below 50% in a majority of categories; incomplete or nonrepresentative evidence is indeterminable.,uncertain,"By the end of 2019, programmable processors will be present in nearly all categories of electrically powered feature-bearing consumer devices, with processor-free products becoming exceptional.","The verbatim sentence is a general claim that microprocessors will be in nearly all conceivable devices, but the context only weakly ties it to the next-year keyword horizon, so fidelity to a 2019 deadline is uncertain.",DeepSeek (AI),2026-09-22,ubiquity_trend_prediction,yes,low,DeepSeek,deepseek-flash,deepseek-api-2026-09-22
23-CCC-2018-085-06,23,CCC-2018-085,06,https://media.ccc.de/v/35c3-10030-security_nightmares_0x13,00:58:45-00:58:54,Frank_Rieger_and_Ron,Bei dem PC-Mittelfeld geht weniger.,"The speakers partition the attack landscape into improved user systems, weak IoT, the PC middle field and high-end targets.","During 2019, conventional commodity attacks against personal computers will decline relative to 2018.",Stichworten für das nächste Jahr,2019-12-31,"Comparable annual endpoint-security telemetry, malware encounter reports and incident datasets for 2018-2019.","A majority of at least three independent comparable global or multi-country sources report a decline of at least 10% in conventional commodity PC malware, exploit detections or incidents in 2019 versus 2018.","A majority of at least three comparable sources report an increase of at least 10%; mixed, definition-shifted or smaller changes are indeterminable.",uncertain,Attacks targeting ordinary personal computers will occupy a smaller share of the threat landscape in 2019 than in 2018.,"The verbatim fragment 'Bei dem PC-Mittelfeld geht weniger' is elliptical and, read with the context, most plausibly asserts a decline in the PC middle field of the attack landscape. The atomic restatement converts this into a measurable annual decline in commodity PC attacks, which is a reasonable but not uniquely forced reading; the fragment alone does not specify a 2018 baseline or a 2019 endpoint, so fidelity is uncertain.",DeepSeek (AI),2026-09-22,empirical_trend,no,medium,DeepSeek,deepseek-flash,deepseek-api-2026-09-22
41-CCC-2011-031-08,41,CCC-2011-031,08,https://media.ccc.de/v/28c3-4898-de-security_nightmares,01:27:33-01:27:50,Frank Rieger and Ron,"Es wird vermutlich dazu kommen 2012, dass wir mehr Kollisionen sehen zwischen dem, was tatsächlich technisch implementiert ist, und den Erwartungen ... an die Privatsphäre.",The speakers distinguish expectation violations from formal legal violations and frame them as platform or technology controversies.,"During 2012, public controversies over digital platforms violating users' reasonable privacy expectations will increase compared with 2011.",2012,2012-12-31,"Apply the same frozen search and coding protocol to 2011 and 2012: count distinct controversies documented by at least two independent reputable news sources in which a platform or device behaviour concerning personal data materially contradicted an expressed user-facing promise, default expectation or contemporaneous user survey, regardless of formal illegality.",The qualifying 2012 controversy count exceeds the 2011 count.,The 2012 count is lower than 2011; equality is non-fulfilment.,yes,In 2012 there will be more public clashes between actual technical implementations and users' privacy expectations than in 2011.,"The verbatim text explicitly forecasts more collisions in 2012 between technical implementation and privacy expectations. The atomic restatement preserves the comparative 2011-to-2012 increase and the expectation-violation framing, matching the frozen indicator's focus on expectation contradictions rather than formal illegality.",DeepSeek (AI),2026-09-22,empirical_trend,no,high,DeepSeek,deepseek-flash,deepseek-api-2026-09-22
51-BHPRO-2012-03-04,51,BHPRO-2012-03,04,https://www.youtube.com/watch?v=S34b4kNUIos,00:58:53-00:59:33,Alex Stamos,Realistically what this means is that proxies are going to become extremely important ... route all the traffic through a proxy ... and do authentication at a higher level than the IP level.,The reason is that a dual-stack endpoint may have multiple changing addresses that security products must bind to one identity.,"By 26 July 2017, major enterprise security architectures will recommend or deploy authenticated application-layer proxies to correlate dual-stack endpoint traffic above the IP-address layer.",in the next four or five years,2017-07-26,At least three major security/network vendors or independent enterprise case studies by the deadline explicitly use authenticated application-layer proxies or secure web gateways to associate traffic from changing IPv4/IPv6 addresses with a user or device identity for monitoring or policy enforcement.,At least three independent qualifying architectures or deployments are documented.,No qualifying architecture is documented; one or two are non-fulfilment.,yes,"Within four to five years, enterprise security will widely rely on authenticated application-layer proxies to tie dual-stack endpoint traffic to identities above the IP layer.","The verbatim text states proxies will become extremely important, traffic will be routed through them, and authentication will occur above the IP level. The atomic restatement adds a deadline derived from 'next four or five years' and an enterprise framing consistent with the context about security products binding multiple addresses to one identity.",DeepSeek (AI),2026-09-22,technology_adoption,no,high,DeepSeek,deepseek-flash,deepseek-api-2026-09-22
36-BHKEY-2017-01-10,36,BHKEY-2017-01,10,https://www.youtube.com/watch?v=YJOMTAREFtY,00:25:38-00:25:46,Alex Stamos,The things we are talking about this year are going to become the startups that you'll see over the next two years.,The keynote discusses Black Hat's role in turning emerging research and technical themes into defensive products and companies.,"By 26 July 2019, at least three cybersecurity startups will have been publicly launched whose central product is directly traceable to research or a technical problem presented at Black Hat USA 2017.",over the next two years,2019-07-26,"Company formation records, launch announcements, founder accounts or investor materials identify a central product and explicitly connect its origin to a Black Hat USA 2017 talk, released tool, research team or named technical problem represented in that programme.",At least three distinct startups with documented direct links launch by the deadline.,A comprehensive programme-to-company search finds no directly linked startup; one or two are non-fulfilment.,uncertain,Topics presented at Black Hat USA 2017 will become startup products within roughly two years.,"The verbatim text says the things discussed this year will become startups over the next two years, but it does not specify a count of three or a requirement that the product be central and directly traceable. The atomic restatement operationalizes the claim with a threshold of at least three startups, which is a plausible but not literal reading, so fidelity is uncertain.",DeepSeek (AI),2026-09-22,technology_adoption,no,medium,DeepSeek,deepseek-flash,deepseek-api-2026-09-22
41-CCC-2011-031-04,41,CCC-2011-031,04,https://media.ccc.de/v/28c3-4898-de-security_nightmares,01:10:38-01:11:50,Frank Rieger and Ron,"Immer mehr Geräte ... kommen in den Markt ... und man dann schon mehr anfangen wird, dass man suchen muss, wenn man einen richtigen Computer haben will.",The speakers define these as devices formerly called computers but restricted to vendor-approved software and lacking ordinary user control.,"During 2012, major consumer-computing vendors will expand the number of newly marketed device families that restrict ordinary software installation to a vendor-controlled store or signed boot path.",für 2012,2012-12-31,"Using contemporaneous manufacturer launch and platform documentation, compare 2011 and 2012 counts of newly launched device families by the five largest relevant consumer-computing vendors that, by default, accept applications only through a vendor-controlled store or enforce a vendor-controlled signed boot chain without a supported user opt-out.",The qualifying 2012 family count exceeds the 2011 count under the same vendor set and coding rules.,The 2012 count is lower than 2011; equality is non-fulfilment.,yes,"In 2012, more newly marketed consumer device families will restrict ordinary software installation to vendor-controlled stores or signed boot paths.","The verbatim text forecasts that more devices will enter the market and that users will have to search to find a real computer, which the context defines as devices restricted to vendor-approved software without ordinary user control. The atomic restatement preserves the 2012 horizon and the expansion of vendor-controlled installation restrictions.",DeepSeek (AI),2026-09-22,empirical_trend,no,high,DeepSeek,deepseek-flash,deepseek-api-2026-09-22
45-CCC-2005-006-01,45,CCC-2005-006,01,https://media.ccc.de/v/22C3-600-de-security_nightmares,00:06:39-00:07:10,Frank Rieger and Ron,"Jedes einzelne neue [Instant-Messaging-]System ... wurde ... angegriffen. Da haben wir sicherlich auch nächstes Jahr noch Spaß. Ja, das geht so weiter.",The retrospective identifies attacks against Skype and multiple messaging clients and then explicitly extends the pattern into the following year.,"During 2006, at least one newly released or materially new instant-messaging client or service will receive a public security disclosure enabling remote code execution, credential theft or unauthorized message/session access.",nächstes Jahr,2006-12-31,"A vendor advisory, CVE record plus technical analysis or researcher primary disclosure published in 2006 documents remote code execution, credential theft or unauthorized access to messages or sessions in an instant-messaging client/service first released or materially relaunched during 2005-2006.",At least one qualifying disclosure occurs during 2006.,A comprehensive authoritative review finds no qualifying disclosure; absence alone is non-fulfilment.,yes,"At least one instant-messaging client or service that is new or materially relaunched in 2005-2006 will be the subject of a public 2006 security disclosure involving remote code execution, credential theft, or unauthorized message/session access.","The verbatim text states that every new instant-messaging system was attacked and that this will continue next year, matching the atomic restatement's 2006 horizon and disclosure-based indicator.",DeepSeek (AI),2026-09-22,security_disclosure_prediction,no,high,DeepSeek,deepseek-flash,deepseek-api-2026-09-22
